we01_id_wezla,we02_tytul_do_wezla,we03_id_podmiotu_obcego,we04_terc,we05_simc,we06_ulic,we07_nr_porzadkowy,we08_szerokosc,we09_dlugosc,we10_medium_transmisyjne,we11_bsa,we12_technologia_dostepowa,we13_uslugi_transmisji_danych,we14_mozliwosc_zwiekszenia_liczby_interfejsow,we15_finansowanie_publ,we16_numery_projektow_publ,we17_infrastruktura_o_duzym_znaczeniu,we18_typ_interfejsu,we19_udostepnianie_ethernet
W140,Węzeł własny,,2205012,0160005,,48,54.3583,18.0896,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W141,Węzeł własny,,2205025,0163529,19142,34,54.3558,18.1799,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W142,Węzeł własny,,2205085,0177371,31918,39,54.3755,18.3955,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W143,Węzeł własny,,2205025,0163268,38369,3,54.2895,18.2411,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W144,Węzeł własny,,2205025,0163268,04805,1,54.2969,18.2196,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W145,Węzeł własny,,2205085,0177371,29356,2,54.3753,18.3970,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W146,Węzeł własny,,2205085,0177402,11522,44,54.3033,18.4100,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W147,Węzeł własny,,2205085,0177260,00518,6,54.2869,18.4273,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W148,Węzeł własny,,2205085,0177170,22508,6,54.4312,18.4353,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W149,Węzeł własny,,2215092,0175461,03811,6,54.4413,18.3499,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W150,Węzeł własny,,2205085,0177454,15953,73,54.3054,18.3400,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W151,Węzeł własny,,2205084,0935127,33503,24,54.3444,18.3490,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W152,Węzeł własny,,2205085,0177402,,,54.3160,18.3802,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W153,Węzeł własny,,2205085,0177371,24048,3,54.3684,18.3751,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
